Ash(O),C(O),O/C(O),H/C(O),N/C(O),HHV(O),Moisture,Temperature,Time,Yield,C(H),O/C(H),H/C(H),N/C(H),Ash(H),HHV(H),CR,ER,C(O)/C(H),HHV(O)/HHV(H)
41.16,29.96,0.463,1.874,0.142,13.19,93.458,180,60,60.23,23.48,0.317,1.825,0.083,60.35,10.11,49,46.166,0.783711615,0.766489765
41.16,29.96,0.463,1.874,0.142,13.19,93.458,230,60,60.23,22.68,0.202,1.667,0.068,65.9,9.62,43,43.928,0.757009346,0.729340409
41.16,29.96,0.463,1.874,0.142,13.19,93.458,280,60,60.23,23.67,0.108,1.425,0.059,68.08,9.81,43,44.796,0.790053405,0.743745262
60.9,20.72,0.414,1.61,0.122,7.82,90.91,120,60,89.22,18.19,0.362,1.695,0.119,67.02,7.045,78.326,80.374,0.877895753,0.900895141
60.9,20.72,0.414,1.61,0.122,7.82,90.91,150,60,84.11,16.27,0.36,1.682,0.108,70.76,6.046,66.046,65.035,0.78523166,0.77314578
60.9,20.72,0.414,1.61,0.122,7.82,90.91,180,60,78.61,13.91,0.36,1.656,0.087,75.28,4.823,52.773,48.483,0.671332046,0.616751918
60.9,20.72,0.414,1.61,0.122,7.82,90.91,210,60,77.5,13.81,0.36,1.434,0.071,76.3,4.454,51.654,44.137,0.666505792,0.569565217
60.9,20.72,0.414,1.61,0.122,7.82,90.91,240,60,75.95,12.77,0.348,1.466,0.067,78.06,4.011,46.809,38.957,0.616312741,0.512915601
27.54,26.542,1.071,1.897,0.124,9.624,95.7,140,240,74.64,28.646,1.069,1.725,0.105,22.89,10.072,80.557,78.108,1.07927059,1.046550291
27.54,26.542,1.071,1.897,0.124,9.624,95.7,160,60,81.13,25.241,1.036,1.834,0.102,33.03,8.977,77.153,75.674,0.950983347,0.932772236
27.54,26.542,1.071,1.897,0.124,9.624,95.7,160,120,71.08,25.926,1.027,1.777,0.097,31.81,9.158,69.43,67.634,0.9767915,0.951579385
27.54,26.542,1.071,1.897,0.124,9.624,95.7,160,240,67.11,24.974,1.042,1.712,0.082,34.4,8.533,63.145,59.498,0.940923819,0.886637573
27.54,26.542,1.071,1.897,0.124,9.624,95.7,180,30,70.74,25.172,1.042,1.738,0.093,33.46,8.686,67.089,63.841,0.948383694,0.902535328
27.54,26.542,1.071,1.897,0.124,9.624,95.7,180,60,67.18,25.015,1.046,1.702,0.086,34.05,8.516,63.314,59.446,0.94246854,0.884871155
27.54,26.542,1.071,1.897,0.124,9.624,95.7,180,120,64.31,23.793,1.056,1.673,0.063,37.65,7.893,57.649,52.743,0.896428302,0.820137157
27.54,26.542,1.071,1.897,0.124,9.624,95.7,180,240,61.87,23.292,1.053,1.627,0.062,39.17,7.578,54.294,48.717,0.877552558,0.787406484
27.54,26.542,1.071,1.897,0.124,9.624,95.7,200,15,69.32,24.171,1.07,1.719,0.071,35.87,8.13,63.126,58.556,0.910669882,0.844763092
27.54,26.542,1.071,1.897,0.124,9.624,95.7,200,30,66.83,24.114,1.064,1.709,0.069,36.29,8.094,60.717,56.207,0.908522342,0.841022444
27.54,26.542,1.071,1.897,0.124,9.624,95.7,200,60,64.06,24.315,1.069,1.651,0.062,35.93,8.026,58.684,53.419,0.916095245,0.833956775
27.54,26.542,1.071,1.897,0.124,9.624,95.7,200,120,61.26,24.066,1.029,1.593,0.058,38.07,7.885,55.545,50.189,0.906713887,0.819305902
27.54,26.542,1.071,1.897,0.124,9.624,95.7,200,240,60.54,23.96,1.015,1.566,0.056,38.94,7.812,54.65,49.141,0.902720217,0.811720698
28.6,36.7,0.734,2.093,0.128,14.67,85.7,200,240,53.92,33.3,0.417,1.586,0.054,43.89,15.09,48.925,55.464,0.907356948,1.028629857
28.6,36.7,0.734,2.093,0.128,14.67,85.7,200,360,58.71,33.2,0.402,1.554,0.054,44.39,14.72,53.111,58.91,0.904632153,1.003408316
28.6,36.7,0.734,2.093,0.128,14.67,85.7,200,480,59.91,32.6,0.405,1.546,0.058,44.67,14.37,53.217,58.685,0.888283379,0.979550102
28.6,36.7,0.734,2.093,0.128,14.67,85.7,200,600,60.21,32.5,0.402,1.514,0.058,46.58,14.45,53.319,59.307,0.885558583,0.985003408
28.6,36.7,0.734,2.093,0.128,14.67,85.7,200,720,40.42,32.5,0.39,1.514,0.058,46.69,14.74,35.794,40.613,0.885558583,1.004771643
15.97,39.435,0.684,1.562,0.076,18.01,96,140,240,61.083,34.384,0.799,1.569,0.047,22.61,21.45,53.259,72.75,0.871915811,1.191004997
15.97,39.435,0.668,1.562,0.094,18.01,96,170,240,54.594,34.767,0.758,1.57,0.037,24.04,22.02,48.131,66.75,0.881627995,1.222654081
15.97,39.435,0.652,1.562,0.113,18.01,96,190,240,49.617,34.495,0.769,1.501,0.037,24.32,22.65,43.401,62.4,0.874730569,1.257634647
15.97,39.435,0.636,1.562,0.131,18.01,96,200,240,48.393,34.484,0.75,1.51,0.035,25.31,23.13,42.317,62.15,0.874451629,1.284286507
52,23.4,0.519,2.051,0.139,9.26,97.071,220,720,67.7,16.5,0.355,1.745,0.057,71.8,5.97,47.737,43.647,0.705128205,0.644708423
54,22.8,0.553,1.789,0.071,9.006,66.67,200,30,87,22.4,0.362,1.607,0.061,61.1,8.864,85.474,85.619,0.98245614,0.984232734
54,22.8,0.553,1.789,0.071,9.006,66.67,200,180,87,21.4,0.386,1.514,0.056,62.5,8.112,81.658,78.363,0.938596491,0.900732845
54,22.8,0.553,1.789,0.071,9.006,66.67,260,30,82,21.3,0.289,1.465,0.044,65.6,8.185,76.605,74.522,0.934210526,0.908838552
54,22.8,0.553,1.789,0.071,9.006,66.67,260,180,82,22.1,0.244,1.466,0.047,65.7,8.682,79.482,79.045,0.969298246,0.964023984
50.7,24.5,0.511,1.812,0.112,10.017,66.67,200,30,83,23.3,0.412,1.545,0.092,57,9.048,78.935,74.97,0.951020408,0.90326445
50.7,24.5,0.511,1.812,0.112,10.017,66.67,200,180,79,23.3,0.286,1.391,0.088,61.2,9.006,75.131,71.029,0.951020408,0.899071578
50.7,24.5,0.511,1.812,0.112,10.017,66.67,260,30,76,22.5,0.23,1.387,0.076,64.5,8.749,69.796,66.381,0.918367347,0.873415194
50.7,24.5,0.511,1.812,0.112,10.017,66.67,260,180,73,22.4,0.191,1.339,0.073,66.1,8.687,66.743,63.305,0.914285714,0.867225716
13.6,43,0.537,1.647,0.128,18.412,89.5,170,60,48.5,46.3,0.389,1.607,0.122,16.4,20.575,52.222,54.2,1.076744186,1.117477732
13.6,43,0.537,1.647,0.128,18.412,89.5,200,60,40.1,49.4,0.275,1.457,0.111,19.7,21.952,46.068,47.811,1.148837209,1.192265914
13.6,43,0.537,1.647,0.128,18.412,89.5,230,60,29.7,50.5,0.125,1.331,0.107,28.8,22.668,34.88,36.566,1.174418605,1.231153595
69.75,24.17,0.029,1.847,0.051,11.24,66.67,160,60,79.4,21.32,0.022,1.728,0.016,74.58,9.42,70.038,66.543,0.88208523,0.838078292
42.23,26.47,0.605,2.285,0.159,11.52,87.5,160,30,79.63,21.83,0.54,2.078,0.14,55.12,8.62,65.671,59.584,0.824707216,0.748263889
42.23,26.47,0.605,2.285,0.159,11.52,87.5,180,30,77.59,21.27,0.461,1.822,0.134,59.1,7.94,62.348,53.478,0.80355119,0.689236111
42.23,26.47,0.605,2.285,0.159,11.52,87.5,200,30,72.92,22.02,0.308,2.093,0.126,61.88,9.33,60.661,59.058,0.831885153,0.809895833
4.87,52.18,0.48,1.86,0.011,24.263,62.8,250,120,36.57,70.37,0.136,1.69,0.025,4.83,34.798,49.318,52.45,1.348600997,1.434200223
4.87,52.18,0.48,1.86,0.011,24.263,73.429,250,120,27.31,72.24,0.115,1.656,0.021,4.82,35.699,37.809,40.183,1.384438482,1.471334954
4.87,52.18,0.48,1.86,0.011,24.263,79.333,250,120,22.84,72.45,0.097,1.757,0.019,5.83,36.68,31.712,34.529,1.388463013,1.511766888
4.87,52.18,0.48,1.86,0.011,24.263,84.5,250,120,14.63,73.35,0.095,1.751,0.019,4.99,37.132,20.566,22.39,1.405711,1.530396076
4.87,52.18,0.48,1.86,0.011,24.263,88.375,250,120,10.3,74.53,0.087,1.702,0.016,4.79,37.466,14.712,15.905,1.428325029,1.544161893
4.87,52.18,0.48,1.86,0.011,24.263,90.7,250,120,8.96,76.33,0.081,1.629,0.018,3.39,37.911,13.107,14,1.462821004,1.562502576
4.87,52.18,0.48,1.86,0.011,24.263,62.8,250,240,35.07,71.38,0.13,1.688,0.023,4.23,35.361,47.974,51.111,1.367957072,1.457404278
4.87,52.18,0.48,1.86,0.011,24.263,73.429,250,240,23.28,72.54,0.115,1.643,0.022,4.48,35.757,32.364,34.309,1.390187811,1.473725426
4.87,52.18,0.48,1.86,0.011,24.263,79.333,250,240,10.75,74.05,0.091,1.711,0.021,4.48,37.244,15.256,16.502,1.419126102,1.535012158
4.87,52.18,0.48,1.86,0.011,24.263,79.333,250,480,8.51,75.8,0.078,1.569,0.02,4.52,37.208,12.362,13.05,1.452663856,1.533528418
