Ash(O),C(O),O/C(O),H/C(O),N/C(O),HHV(O),Moisture,Temperature,Time,Yield,C(H),HHV(H),CR,ER
29.8,40.3,0.361,1.727,0.1,18,90,300,120,48.6,40.7,20.2,49.3,53.2
40.9,32.7,0.353,1.798,0.134,14.9,83.5,180,60,74.2,30.8,14.7,69.889,73.204
40.9,32.7,0.353,1.798,0.134,14.9,83.5,210,60,67.5,31.8,14.9,65.642,67.5
40.9,32.7,0.353,1.798,0.134,14.9,83.5,240,60,51.8,32.6,15.1,51.642,52.495
40.06,29.6,0.51,1.743,0.126,14.34,97.56,200,240,64,26.2,11.4,56.649,50.879
60.3,20.9,0.484,1.435,0.078,7.565,72.8,200,60,65,25.9,11.179,80.55,96.051
54.69,17.399,0.966,1.659,0.093,6.32,80,170,60,88.42,16.41,5.01,83.391,70.09
54.69,17.399,0.966,1.659,0.093,6.32,80,200,60,87.14,15.761,5.49,78.935,75.7
54.69,17.399,0.966,1.659,0.093,6.32,80,230,60,86.73,15.451,5.48,77.017,75.21
54.69,17.399,0.966,1.659,0.093,6.32,80,260,60,81.74,15.652,5.15,73.53,66.61
54.69,17.399,0.966,1.659,0.093,6.32,80,290,60,79.66,15.291,4.84,70.007,61.01
54.69,17.399,0.966,1.659,0.093,6.32,80,320,60,77.19,14.39,4.53,63.839,55.33
54.69,17.399,0.966,1.659,0.093,6.32,80,350,60,73.43,13.18,4.34,55.626,50.43
15.18,45.37,0.405,1.571,0.17,19.831,88.86,170,60,89.24,46.23,20.241,90.932,91.083
15.18,45.37,0.405,1.571,0.17,19.831,88.86,200,60,35.31,49.74,21.661,38.711,38.568
15.18,45.37,0.405,1.571,0.17,19.831,88.86,230,60,32.67,51.95,22.688,37.408,37.377
15.18,45.37,0.405,1.571,0.17,19.831,88.86,260,60,31.08,53.93,23.239,36.944,36.421
17.05,43.375,0.468,1.811,0.105,20.606,50,180,30,93.13,42.362,22.503,90.956,101.704
17.05,43.375,0.468,1.811,0.105,20.606,50,210,30,85.84,44.979,23.449,89.015,97.683
17.05,43.375,0.468,1.811,0.105,20.606,50,240,30,67.93,43.59,22.892,68.267,75.466
17.05,43.375,0.468,1.811,0.105,20.606,50,270,30,40.78,39.808,18.664,37.426,36.937
52.48,23.242,0.458,2.385,0.157,9.33,71.818,300,60,63.8,26.724,9.63,73.357,65.851
49.85,25.03,0.459,2.018,0.166,10.97,90,180,30,66.18,21.23,10.8,56.133,65.154
49.85,25.03,0.459,2.018,0.166,10.97,90,220,30,60.58,19.62,10.07,47.486,55.61
49.85,25.03,0.459,2.018,0.166,10.97,90,260,30,56.23,24.47,11.79,54.972,60.433
49.85,25.03,0.459,2.018,0.166,10.97,90,300,30,53,21.94,11.23,46.457,54.256
49.85,25.03,0.459,2.018,0.166,10.97,90,260,60,58.51,24.49,12.06,57.248,64.324
49.85,25.03,0.459,2.018,0.166,10.97,90,260,90,59.37,24.13,11.38,57.235,61.589
49.85,25.03,0.459,2.018,0.166,10.97,90,260,360,63.32,19.9,9.8,50.342,56.567
49.85,25.03,0.459,2.018,0.166,10.97,90,260,480,66.19,24.12,10.86,63.784,65.526
30.63,34.41,0.507,1.817,0.118,15.2,31.837,100,0,81.36,34.79,14.68,82.258,78.577
30.63,34.41,0.507,1.817,0.118,15.2,31.837,100,30,77.57,34.53,14.48,77.841,73.896
30.63,34.41,0.507,1.817,0.118,15.2,31.837,100,60,73.73,33.7,13.57,72.209,65.823
30.63,34.41,0.507,1.817,0.118,15.2,31.837,150,0,85.31,33.04,13.64,81.913,76.555
30.63,34.41,0.507,1.817,0.118,15.2,31.837,150,30,86.26,37.22,17.17,93.304,97.44
30.63,34.41,0.507,1.817,0.118,15.2,31.837,150,60,89.01,32.36,13.1,83.707,76.713
30.63,34.41,0.507,1.817,0.118,15.2,31.837,200,0,78.28,34.85,14.71,79.281,75.757
30.63,34.41,0.507,1.817,0.118,15.2,31.837,200,30,81.16,35.04,14.59,82.646,77.903
30.63,34.41,0.507,1.817,0.118,15.2,31.837,200,60,80.78,34.32,14.21,80.569,75.519
18.51,41.723,0.468,1.556,0.148,17.844,90.627,180,15,97.012,40.698,17.273,94.628,93.908
18.51,41.723,0.468,1.556,0.148,17.844,90.627,180,30,93.597,40.874,17.286,91.691,90.671
18.51,41.723,0.468,1.556,0.148,17.844,90.627,180,45,90.502,41.173,17.556,89.308,89.042
18.51,41.723,0.468,1.556,0.148,17.844,90.627,200,15,93.063,41.484,17.743,92.531,92.536
18.51,41.723,0.468,1.556,0.148,17.844,90.627,200,30,91.249,42.867,18.269,93.752,93.419
18.51,41.723,0.468,1.556,0.148,17.844,90.627,200,45,88.474,42.734,18.133,90.619,89.908
18.51,41.723,0.468,1.556,0.148,17.844,90.627,220,15,90.928,43.16,18.389,94.06,93.707
18.51,41.723,0.468,1.556,0.148,17.844,90.627,220,30,86.553,44.034,18.514,91.347,89.8
18.51,41.723,0.468,1.556,0.148,17.844,90.627,220,45,84.418,44.097,18.414,89.222,87.116
18.51,41.723,0.468,1.556,0.148,17.844,90.627,240,15,85.059,43.007,17.921,87.677,85.424
18.51,41.723,0.468,1.556,0.148,17.844,90.627,240,30,81.964,43.577,17.854,85.607,82.009
18.51,41.723,0.468,1.556,0.148,17.844,90.627,240,45,78.228,44.391,18.046,83.232,79.115
12.7,37.015,0.888,1.642,0.024,14.9,68,210,30,93,40.245,16,101.116,99.5
12.7,37.015,0.888,1.642,0.024,14.9,68,210,120,88.1,42.466,16,101.074,94.24
12.7,37.015,0.888,1.642,0.024,14.9,68,230,30,87.4,42.804,16.7,101.068,97.96
12.7,37.015,0.888,1.642,0.024,14.9,68,230,120,79.7,44.383,17.9,95.564,95.68
12.7,37.015,0.888,1.642,0.024,14.9,68,250,30,73.5,44.278,20.1,87.922,98.85
12.7,37.015,0.888,1.642,0.024,14.9,68,250,120,51.6,44.567,20.4,62.127,70.52
12.7,37.015,0.888,1.642,0.024,14.9,85,210,30,93.2,40.568,16.1,102.146,98.01
12.7,37.015,0.888,1.642,0.024,14.9,85,210,120,85,41.65,16.6,95.643,91.88
12.7,37.015,0.888,1.642,0.024,14.9,85,230,30,86.3,41.23,16.5,96.127,92.52
12.7,37.015,0.888,1.642,0.024,14.9,85,230,120,64,42.757,18.1,73.928,75.48
12.7,37.015,0.888,1.642,0.024,14.9,85,250,30,66.9,44.467,18.8,80.368,82.07
12.7,37.015,0.888,1.642,0.024,14.9,85,250,120,48.4,45.667,20.5,59.713,64.57
35.03,47.01,0.16,1.595,0.022,21.91,70,210,120,77.5,43.64,20.74,71.944,73.361
35.03,47.01,0.16,1.595,0.022,21.91,70,240,120,75.7,46.52,21.71,74.911,75.009
35.03,47.01,0.16,1.595,0.022,21.91,70,270,120,79.91,44.9,21.31,76.323,77.722
41.8,21.86,0.978,1.85,0.15,10.98,16.67,220,60,59.07,23.64,11.82,63.88,63.589
34.19,31.61,0.556,1.989,0.118,14.71,83.333,160,600,70.75,29,13.94,64.908,67.047
34.19,31.61,0.556,1.989,0.118,14.71,83.33,180,600,67.22,29.23,14.1,62.159,64.432
34.19,31.61,0.556,1.989,0.118,14.71,83.33,200,600,65.05,29.97,13.98,61.675,61.822
34.19,31.61,0.556,1.989,0.118,14.71,83.33,220,600,61.73,28.81,14.16,56.262,59.422
34.19,31.61,0.556,1.989,0.118,14.71,83.33,240,600,59.85,30.65,14.93,58.032,60.745
33.57,36.64,0.362,2.905,0.075,16.3,88.89,250,120,80.22,38.32,18.98,83.898,71.13
26.06,28.504,0.905,2.011,0.179,16.5,50,180,60,93.9,28.246,17.3,93.05,92.2
26.06,28.504,0.905,2.011,0.179,16.5,50,200,60,92.6,28.447,17.5,92.414,91.6
26.06,28.504,0.905,2.011,0.179,16.5,50,220,60,88.7,27.743,18.3,86.332,93.1
26.06,28.504,0.905,2.011,0.179,16.5,50,250,60,83.4,27.631,20.2,80.846,90.3
26.06,28.504,0.905,2.011,0.179,16.5,50,280,60,80.4,29.06,22.4,81.97,89.6
5.86,47.32,0.421,1.775,0.179,19.96,90,150,0,68.95,53.47,23.06,77.911,79.659
5.86,47.32,0.421,1.775,0.179,19.96,90,150,30,59.52,54.12,23.28,68.073,69.42
5.86,47.32,0.421,1.775,0.179,19.96,90,150,60,55.27,54.82,23.73,64.03,65.709
5.86,47.32,0.421,1.775,0.179,19.96,90,150,90,51.62,55.67,23.87,60.729,61.732
5.86,47.32,0.421,1.775,0.179,19.96,90,180,0,51.33,54.89,23.55,59.541,60.562
5.86,47.32,0.421,1.775,0.179,19.96,90,180,30,43.26,56.06,23.99,51.25,51.994
5.86,47.32,0.421,1.775,0.179,19.96,90,180,60,39.75,56.34,24.17,47.327,48.134
5.86,47.32,0.421,1.775,0.179,19.96,90,180,90,36.36,57.21,24.4,43.959,44.448
5.86,47.32,0.421,1.775,0.179,19.96,90,210,0,38.59,56.57,23.66,46.133,45.743
5.86,47.32,0.421,1.775,0.179,19.96,90,210,30,32.59,58.03,24.53,39.966,40.052
5.86,47.32,0.421,1.775,0.179,19.96,90,210,60,28.06,60.23,27.12,35.715,38.126
5.86,47.32,0.421,1.775,0.179,19.96,90,210,90,28.98,61.11,27.15,37.425,39.419
5.86,47.32,0.421,1.775,0.179,19.96,90,240,0,33.52,59.28,26.01,41.992,43.68
5.86,47.32,0.421,1.775,0.179,19.96,90,240,30,29.26,59.74,26.07,36.94,38.217
5.86,47.32,0.421,1.775,0.179,19.96,90,240,60,26.62,59.68,26,33.573,34.675
5.86,47.32,0.421,1.775,0.179,19.96,90,240,90,27.85,61.23,26.94,36.037,37.589
14.96,45.96,0.451,1.715,0.079,20.5,97.1,190,30,77.2,44.56,19.45,74.848,73.246
